SOLUTION_MASTER_SPECIES
#element	master species	alkalinity	gfw|formula	gfw of element	source
	delta_h	229.571 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + Pyrophos-4 = Cd(Pyrophos)-2
	log_k	8.7
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + S2O3-2 = Cd(S2O3)
	log_k	2.46
	delta_h	5.405 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + SO4-2 = Cd(SO4)
	log_k	2.37
	delta_h	8.700 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 2SO4-2 = Cd(SO4)2-2
	log_k	3.44
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + H+ + Cn- + HSe- - H2O + 0.500O2 = Cd(SeCn)+
	log_k	58.26
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 2H+ + 2Cn- + 2HSe- - 2H2O + O2 = Cd(SeCn)2
	log_k	115.37
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 3H+ + 3Cn- + 3HSe- - 3H2O + 1.500O2 = Cd(SeCn)3-
	log_k	171.86
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 4H+ + 4Cn- + 4HSe- - 4H2O + 2O2 = Cd(SeCn)4-2
	log_k	228.67
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + SeO4-2 = Cd(SeO4)
	log_k	2.27
	delta_h	8.300 
	-llnl_gamma	nan
	# source	sit.dat
4Cd+2 - 4H+ + 4H2O = Cd4(OH)4+4
	log_k	-32.07
	delta_h	172.135 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + Br- = CdBr+
	log_k	2.16
	delta_h	-7.959 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 2Br- = CdBr2
	log_k	2.92
	delta_h	-15.742 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 3Br- = CdBr3-
	log_k	3.19
	delta_h	-28.845 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + Cl- = CdCl+
	log_k	1.97
	delta_h	-5.520 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 2Cl- = CdCl2
	log_k	2.59
	delta_h	-14.068 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 3Cl- = CdCl3-
	log_k	2.4
	delta_h	-25.804 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 4Cl- = CdCl4-2
	log_k	1.47
	delta_h	-44.765 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 - H+ + H2(PO4)- = CdHPO4
	log_k	-2.38
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + HS- = CdHS+
	log_k	7.38
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + I- = CdI+
	log_k	2.09
	delta_h	-8.739 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 2I- = CdI2
	log_k	3.52
	delta_h	-18.988 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 3I- = CdI3-
	log_k	4.64
	delta_h	-38.647 
	-llnl_gamma	nan
	# source	sit.dat
Cd+2 + 4I- = CdI4-2
	log_k	5.48
	delta_h	-75.609 
	-llnl_gamma	nan
	# source	sit.dat
2Cl- - H2O + 2H+ + 0.500O2 = Cl2
	log_k	-4.22
	delta_h	30.997 
	-llnl_gamma	nan
	# source	sit.dat
Cl- + 2O2 = ClO4-
	log_k	-16.13
	delta_h	63.248 
	-llnl_gamma	nan
	# source	sit.dat
Cm+3 + Acetate- = Cm(Acetate)+2
	log_k	3.01
	-llnl_gamma	nan
	# source	sit.dat
Cm+3 + 2Acetate- = Cm(Acetate)2+
	log_k	4.96
	-llnl_gamma	nan
	# source	sit.dat
Cm+3 + 3Acetate- = Cm(Acetate)3
	log_k	6.3
	-llnl_gamma	nan
	# source	sit.dat
2CO3-2 + Cm+3 = Cm(CO3)2-
	log_k	12.6
	-llnl_gamma	nan
	# source	sit.dat
3CO3-2 + Cm+3 = Cm(CO3)3-3
	log_k	14.6
	-llnl_gamma	nan
	# source	sit.dat
H2(PO4)- + Cm+3 = Cm(H2PO4)+2
	log_k	2.4
	-llnl_gamma	nan
	# source	sit.dat
- H+ + H2(PO4)- + Cm+3 = Cm(HPO4)+
	log_k	-1.7
	-llnl_gamma	nan
	# source	sit.dat
- 2H+ + 2H2(PO4)- + Cm+3 = Cm(HPO4)2-
	log_k	-5.21
	-llnl_gamma	nan
	# source	sit.dat
- H+ + Cm+3 + H2O = Cm(OH)+2
	log_k	-7.2
	delta_h	79.365 
	-llnl_gamma	nan
	# source	sit.dat
- 2H+ + Cm+3 + 2H2O = Cm(OH)2+
	log_k	-15.1
	delta_h	144.956 
	-llnl_gamma	nan
	# source	sit.dat
- 3H+ + Cm+3 + 3H2O = Cm(OH)3
	log_k	-26.2
	delta_h	231.675 
	-llnl_gamma	nan
	# source	sit.dat
- 4H+ + Cm+3 + 4H2O = Cm(OH)4-
	log_k	-40.7
	-llnl_gamma	nan
	# source	sit.dat
Ox-2 + Cm+3 = Cm(Ox)+
	log_k	6.48
	-llnl_gamma	nan
	# source	sit.dat
2Ox-2 + Cm+3 = Cm(Ox)2-
	log_k	10.4
	-llnl_gamma	nan
	# source	sit.dat
3Ox-2 + Cm+3 = Cm(Ox)3-3
	log_k	12.84
	-llnl_gamma	nan
	# source	sit.dat
- 4H+ + 2H2(PO4)- + Cm+3 = Cm(PO4)2-3
	log_k	-19.23
	-llnl_gamma	nan
	# source	sit.dat
Cm+3 + Phthalat-2 = Cm(Phthalat)+
	log_k	4.93
	-llnl_gamma	nan
	# source	sit.dat
2SO4-2 + Cm+3 = Cm(SO4)2-
	log_k	4.57
	delta_h	20.880 
	-llnl_gamma	nan
	# source	sit.dat
CO3-2 + Cm+3 = CmCO3+
	log_k	7.9
	delta_h	153.982 
	-llnl_gamma	nan
	# source	sit.dat
Cl- + Cm+3 = CmCl+2
	log_k	0.24
	delta_h	22.512 
	-llnl_gamma	nan
	# source	sit.dat
2Cl- + Cm+3 = CmCl2+
	log_k	-0.74
	delta_h	41.165 
	-llnl_gamma	nan
	# source	sit.dat
F- + Cm+3 = CmF+2
	log_k	3.4
	delta_h	25.613 
	-llnl_gamma	nan
	# source	sit.dat
2F- + Cm+3 = CmF2+
	log_k	5.8
	delta_h	20.620 
	-llnl_gamma	nan
	# source	sit.dat
3F- + Cm+3 = CmF3
	log_k	11.18
	delta_h	-15.485 
	-llnl_gamma	nan
	# source	sit.dat
H+ + CO3-2 + Cm+3 = CmHCO3+2
	log_k	13.43
	-llnl_gamma	nan
	# source	sit.dat
NO3- + Cm+3 = CmNO3+2
	log_k	1.33
	delta_h	1.800 
	-llnl_gamma	nan
	# source	sit.dat
- 2H+ + H2(PO4)- + Cm+3 = CmPO4
	log_k	-7.66
	-llnl_gamma	nan
	# source	sit.dat
SO4-2 + Cm+3 = CmSO4+
	log_k	3.45
	delta_h	15.640 
	-llnl_gamma	nan
	# source	sit.dat
- H+ + H4(SiO4) + Cm+3 = CmSiO(OH)3+2
	log_k	-2.31
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + 2HS- = Co(HS)2
	log_k	8.77
	-llnl_gamma	nan
	# source	sit.dat
Co+2 - H+ + H2O = Co(OH)+
	log_k	-9.23
	delta_h	45.962 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 - 2H+ + 2H2O = Co(OH)2
	log_k	-18.6
	delta_h	105.707 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 - 3H+ + 3H2O = Co(OH)3-
	log_k	-31.7
	delta_h	160.297 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 - 4H+ + 4H2O = Co(OH)4-2
	log_k	-46.42
	delta_h	214.483 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + H+ + Cn- + HSe- - H2O + 0.500O2 = Co(SeCn)+
	log_k	57.52
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + SeO4-2 = Co(SeO4)
	log_k	2.7
	delta_h	-3.654 
	-llnl_gamma	nan
	# source	sit.dat
2Co+2 - H+ + H2O = Co2(OH)+3
	log_k	-9.83
	delta_h	30.030 
	-llnl_gamma	nan
	# source	sit.dat
4Co+2 - 4H+ + 4H2O = Co4(OH)4+4
	log_k	-29.88
	delta_h	149.720 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + CO3-2 = CoCO3
	log_k	4.23
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + Cl- = CoCl+
	log_k	0.57
	delta_h	-2.180 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + 2Cl- = CoCl2
	log_k	0.02
	delta_h	4.074 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + 3Cl- = CoCl3-
	log_k	-1.71
	delta_h	6.688 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + 4Cl- = CoCl4-2
	log_k	-2.09
	delta_h	22.570 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + F- = CoF+
	log_k	1.5
	delta_h	-0.631 
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + H+ + CO3-2 = CoHCO3+
	log_k	12.22
	-llnl_gamma	nan
	# source	sit.dat
Co+2 - H+ + H2(PO4)- = CoHPO4
	log_k	-4.15
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + HS- = CoHS+
	log_k	5.67
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + S2O3-2 = CoS2O3
	log_k	2.05
	-llnl_gamma	nan
	# source	sit.dat
Co+2 + SO4-2 = CoSO4
	log_k	2.3
	delta_h	2.092 
	-llnl_gamma	nan
	# source	sit.dat
H2(PO4)- + Cr+3 = Cr(H2PO4)+2
	log_k	2.56
	-llnl_gamma	nan
	# source	sit.dat
- H+ + H2(PO4)- + Cr+3 = Cr(HPO4)+
	log_k	2.25
	-llnl_gamma	nan
	# source	sit.dat
Cr+3 + 2CO3-2 + H2O - H+ = Cr(OH)(CO3)2-2
	log_k	9.73
	-llnl_gamma	nan
	# source	sit.dat
- H+ + Cr+2 + H2O = Cr(OH)+
	log_k	-5.3
	delta_h	30.327 
	-llnl_gamma	nan
	# source	sit.dat
- H+ + Cr+3 + H2O = Cr(OH)+2
	log_k	-3.42
	delta_h	37.165 
	-llnl_gamma	nan
	# source	sit.dat
- 2H+ + Cr+3 + 2H2O = Cr(OH)2+
	log_k	-8.9
	delta_h	93.201 
	-llnl_gamma	nan
	# source	sit.dat
- 3H+ + Cr+3 + 3H2O = Cr(OH)3
	log_k	-14.34
	delta_h	143.689 
	-llnl_gamma	nan
	# source	sit.dat
- 3H+ + H2(PO4)- + Cr+3 + 3H2O = Cr(OH)3(H2PO4)-
	log_k	-11.56
	-llnl_gamma	nan
	# source	sit.dat
2H2(PO4)- + Cr+3 + 3H2O - 3H+ = Cr(OH)3(H2PO4)2-2
	log_k	-10.86
	-llnl_gamma	nan
	# source	sit.dat
- 4H+ + H2(PO4)- + Cr+3 + 3H2O = Cr(OH)3(HPO4)-2
	log_k	-19.58
	-llnl_gamma	nan
	# source	sit.dat
- 5H+ + H2(PO4)- + Cr+3 + 3H2O = Cr(OH)3(PO4)-3
	log_k	-30.24
	-llnl_gamma	nan
	# source	sit.dat
Cr+3 + CO3-2 + 4H2O - 4H+ = Cr(OH)4(CO3)-3
	log_k	-25.69
	-llnl_gamma	nan
	# source	sit.dat
- 5H+ + 2H2(PO4)- + Cr+3 + 4H2O = Cr(OH)4(HPO4)(H2PO4)-4
	log_k	-28.76
	delta_h	14.000 
	-llnl_gamma	nan
	# source	sit.dat
- 4H+ + Cr+3 + 4H2O = Cr(OH)4-
	log_k	-25.86
	delta_h	193.604 
	-llnl_gamma	nan
	# source	sit.dat
Cr+3 + CO3-2 + H2O - H+ = Cr(OH)CO3
	log_k	4.0
	-llnl_gamma	nan
	# source	sit.dat
- H+ + 2Cl- + Cr+3 + H2O = Cr(OH)Cl2
	log_k	-5.73
	delta_h	32.720 
	-llnl_gamma	nan
	# source	sit.dat
- 2H+ + 2Cr+3 + 2H2O = Cr2(OH)2+4
	log_k	-4.0
	-llnl_gamma	nan
	# source	sit.dat
2H+ + 2CrO4-2 - H2O = Cr2O7-2
	log_k	14.75
	delta_h	-3.752 
	-llnl_gamma	nan
	# source	sit.dat
- 4H+ + 3Cr+3 + 4H2O = Cr3(OH)4+5
	log_k	-7.6
	-llnl_gamma	nan
	# source	sit.dat
Br- + Cr+3 = CrBr+2
	log_k	-0.62
	delta_h	22.600 
	-llnl_gamma	nan
	# source	sit.dat
Cl- + Cr+2 = CrCl+
	log_k	5.6
	delta_h	-20.200 
	-llnl_gamma	nan
	# source	sit.dat
Cl- + Cr+3 = CrCl+2
	log_k	0.62
	delta_h	20.920 
	-llnl_gamma	nan
	# source	sit.dat
2Cl- + Cr+3 = CrCl2+
	log_k	-0.71
	delta_h	20.920 
	-llnl_gamma	nan
	# source	sit.dat
F- + Cr+3 = CrF+2
	log_k	5.21
	delta_h	-2.510 
	-llnl_gamma	nan
	# source	sit.dat
2F- + Cr+3 = CrF2+
	log_k	9.31
	delta_h	-0.418 
	-llnl_gamma	nan
	# source	sit.dat
3F- + Cr+3 = CrF3
	log_k	11.91
	-llnl_gamma	nan
	# source	sit.dat
2H+ + Cl- + CrO4-2 - H2O = CrO3Cl-
	log_k	8.08
	delta_h	5.500 
	-llnl_gamma	nan
	# source	sit.dat
SO4-2 + Cr+3 = CrSO4+
	log_k	4.61
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + Cit-3 = Cs(Cit)-2
	log_k	0.98
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + Edta-4 = Cs(Edta)-3
	log_k	1.3
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + Nta-3 = Cs(Nta)-2
	log_k	0.85
	-llnl_gamma	nan
	# source	sit.dat
Cs+ - H+ + H2O = Cs(OH)
	log_k	-15.64
	delta_h	65.736 
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + Br- = CsBr
	log_k	0.09
	delta_h	5.922 
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + Cl- = CsCl
	log_k	-0.09
	delta_h	7.523 
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + F- = CsF
	log_k	-0.38
	delta_h	2.446 
	-llnl_gamma	nan
	# source	sit.dat
Cs+ + I- = CsI
	log_k	1.05
	delta_h	-0.055 
	-llnl_gamma	nan
	# source	sit.dat
Cu+2 + B(OH)4- = Cu(B(OH)4)+
	log_k	7.13
	-llnl_gamma	nan
	# source	sit.dat
Cu+2 + 2B(OH)4- = Cu(B(OH)4)2
	log_k	12.45
	-llnl_gamma	nan
	# source	sit.dat
Cu+2 + 3B(OH)4- = Cu(B(OH)4)3-
	log_k	15.17
	-llnl_gamma	nan
	# source	sit.dat
Cu+2 + SeO4-2 = Cu(SeO4)
	log_k	2.2
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Acetate- = Eu(Acetate)+2
	log_k	2.9
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Acetate- = Eu(Acetate)2+
	log_k	4.8
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 3Acetate- = Eu(Acetate)3
	log_k	5.6
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + CO3-2 = Eu(CO3)+
	log_k	7.9
	delta_h	167.549 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2CO3-2 = Eu(CO3)2-
	log_k	12.9
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 3CO3-2 = Eu(CO3)3-3
	log_k	14.8
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + H2(PO4)- = Eu(H2PO4)+2
	log_k	2.4
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + H+ + CO3-2 = Eu(HCO3)+2
	log_k	12.43
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - H+ + H2(PO4)- = Eu(HPO4)+
	log_k	-1.51
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - 2H+ + 2H2(PO4)- = Eu(HPO4)2-
	log_k	-4.82
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Malonate-2 = Eu(Malonate)+
	log_k	5.43
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Malonate-2 = Eu(Malonate)2-
	log_k	7.78
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + NO3- = Eu(NO3)+2
	log_k	1.21
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - H+ + H2O = Eu(OH)+2
	log_k	-7.8
	delta_h	79.824 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - 2H+ + 2H2O = Eu(OH)2+
	log_k	-15.7
	delta_h	144.521 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - 3H+ + 3H2O = Eu(OH)3
	log_k	-26.2
	delta_h	226.860 
	-llnl_gamma	nan
	# source	sit.dat
HIsa- + Eu+3 + 3H2O - 3H+ = Eu(OH)3(HIsa)-
	log_k	-20.9
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - 4H+ + 4H2O = Eu(OH)4-
	log_k	-40.7
	delta_h	296.791 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Ox-2 = Eu(Ox)+
	log_k	6.55
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Ox-2 = Eu(Ox)2-
	log_k	10.93
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 3Ox-2 = Eu(Ox)3-3
	log_k	12.48
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - 2H+ + H2(PO4)- = Eu(PO4)
	log_k	-7.36
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - 4H+ + 2H2(PO4)- = Eu(PO4)2-3
	log_k	-18.46
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Phthalat-2 = Eu(Phthalat)+
	log_k	4.96
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Phthalat-2 = Eu(Phthalat)2-
	log_k	7.34
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + SO4-2 = Eu(SO4)+
	log_k	3.5
	delta_h	15.577 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2SO4-2 = Eu(SO4)2-
	log_k	5.2
	delta_h	27.787 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Succinat-2 = Eu(Succinat)+
	log_k	4.36
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Succinat-2 = Eu(Succinat)2-
	log_k	6.5
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Br- = EuBr+2
	log_k	0.25
	delta_h	16.223 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Br- = EuBr2+
	log_k	-0.09
	delta_h	26.498 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + Cl- = EuCl+2
	log_k	0.76
	delta_h	21.929 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2Cl- = EuCl2+
	log_k	-0.05
	delta_h	35.334 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + F- = EuF+2
	log_k	4.33
	delta_h	24.956 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 2F- = EuF2+
	log_k	6.55
	delta_h	21.483 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 + 3F- = EuF3
	log_k	10.6
	delta_h	-8.343 
	-llnl_gamma	nan
	# source	sit.dat
Eu+3 - H+ + H4(SiO4) = EuSiO(OH)3+2
	log_k	-2.62
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + B(OH)4- = Fe(B(OH)4)+2
	log_k	8.58
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 2B(OH)4- = Fe(B(OH)4)2+
	log_k	15.54
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + CO3-2 = Fe(CO3)
	log_k	5.69
	delta_h	-5.764 
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 2CO3-2 = Fe(CO3)2-2
	log_k	7.45
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 3CO3-2 = Fe(CO3)3-3
	log_k	24.24
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + Cit-3 = Fe(Cit)
	log_k	12.65
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - H+ + Cit-3 + H2O = Fe(Cit)(OH)-
	log_k	10.33
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + Cit-3 = Fe(Cit)-
	log_k	6.1
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 2H+ + 2Cit-3 + 2H2O = Fe(Cit)2(OH)2-5
	log_k	3.44
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 2Cit-3 = Fe(Cit)2-3
	log_k	18.15
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 6Cn- = Fe(Cn)6-3
	log_k	43.6
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 6Cn- = Fe(Cn)6-4
	log_k	35.4
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + Edta-4 = Fe(Edta)-
	log_k	27.7
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + Edta-4 = Fe(Edta)-2
	log_k	16.02
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 2H+ + Cit-3 = Fe(H2Cit)+
	log_k	24.7
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 2H+ + Cit-3 = Fe(H2Cit)+2
	log_k	30.4
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + H2(PO4)- = Fe(H2PO4)+
	log_k	2.69
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + H2(PO4)- = Fe(H2PO4)+2
	log_k	5.42
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - H+ + H4(SiO4) = Fe(H3SiO4)+2
	log_k	0.36
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + H+ + Cit-3 = Fe(HCit)
	log_k	10.02
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + H+ + 2Cit-3 = Fe(HCit)(Cit)-2
	log_k	19.3
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + H+ + Cit-3 = Fe(HCit)+
	log_k	13.56
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 2H+ + 2Cit-3 = Fe(HCit)2-
	log_k	24.92
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + H+ + Edta-4 = Fe(HEdta)
	log_k	29.2
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + H+ + Edta-4 = Fe(HEdta)-
	log_k	18.3
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + H+ + Nta-3 = Fe(HNta)
	log_k	12.3
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + H+ + Ox-2 = Fe(HOx)+2
	log_k	9.3
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - H+ + H2(PO4)- = Fe(HPO4)
	log_k	-3.61
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - H+ + H2(PO4)- = Fe(HPO4)+
	log_k	1.63
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + HS- = Fe(HS)+
	log_k	4.34
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 2HS- = Fe(HS)2
	log_k	6.45
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + H+ + SO4-2 = Fe(HSO4)+
	log_k	3.07
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + H+ + SeO3-2 = Fe(HSeO3)+2
	log_k	12.35
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + NH3 = Fe(NH3)+2
	log_k	1.3
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 2NH3 = Fe(NH3)2+2
	log_k	2.1
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 4NH3 = Fe(NH3)4+2
	log_k	3.6
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + NO3- = Fe(NO3)+2
	log_k	0.95
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + Nta-3 = Fe(Nta)
	log_k	18.6
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + Nta-3 = Fe(Nta)-
	log_k	10.6
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 2Nta-3 = Fe(Nta)2-3
	log_k	27.0
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 2Nta-3 = Fe(Nta)2-4
	log_k	13.5
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - H+ + Cit-3 + H2O = Fe(OH)(Cit)-2
	log_k	1.5
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - H+ + Edta-4 + H2O = Fe(OH)(Edta)-2
	log_k	20.84
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - H+ + Edta-4 + H2O = Fe(OH)(Edta)-3
	log_k	6.4
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - H+ + Nta-3 + H2O = Fe(OH)(Nta)-
	log_k	14.6
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - H+ + Nta-3 + H2O = Fe(OH)(Nta)-2
	log_k	-0.12
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - H+ + H2O = Fe(OH)+
	log_k	-9.5
	delta_h	55.304 
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - H+ + H2O = Fe(OH)+2
	log_k	-2.19
	delta_h	43.514 
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - 2H+ + 2H2O = Fe(OH)2
	log_k	-20.6
	delta_h	119.662 
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 2H+ + Cit-3 + 2H2O = Fe(OH)2(Cit)-2
	log_k	2.9
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 2H+ + Edta-4 + 2H2O = Fe(OH)2(Edta)-3
	log_k	10.06
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - 2H+ + Edta-4 + 2H2O = Fe(OH)2(Edta)-4
	log_k	-4.4
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 2H+ + Nta-3 + 2H2O = Fe(OH)2(Nta)-2
	log_k	6.0
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 2H+ + 2H2O = Fe(OH)2+
	log_k	-5.67
	delta_h	71.546 
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 3H+ + 3H2O = Fe(OH)3
	log_k	-12.56
	delta_h	103.764 
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 3H+ + Edta-4 + 3H2O = Fe(OH)3(Edta)-4
	log_k	8.3
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - 3H+ + 3H2O = Fe(OH)3-
	log_k	-31.9
	delta_h	138.072 
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 - 4H+ + 4H2O = Fe(OH)4-
	log_k	-21.6
	delta_h	133.471 
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 - 4H+ + 4H2O = Fe(OH)4-2
	log_k	-46.0
	delta_h	158.797 
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + Ox-2 = Fe(Ox)
	log_k	4.1
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + Ox-2 = Fe(Ox)+
	log_k	9.53
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 2Ox-2 = Fe(Ox)2-
	log_k	15.75
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 2Ox-2 = Fe(Ox)2-2
	log_k	6.2
	-llnl_gamma	nan
	# source	sit.dat
Fe+3 + 3Ox-2 = Fe(Ox)3-3
	log_k	20.2
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + 3Ox-2 = Fe(Ox)3-4
	log_k	5.22
	-llnl_gamma	nan
	# source	sit.dat
Fe+2 + SO4-2 = Fe(SO4)
	log_k	2.2
	delta_h	13.514 
	-llnl_gamma	nan
	# source	sit.dat
